Publication,Authors,Journal,Year
Registration of NY6432-18 and NY6708-18 wheat germplasm lines ," ME Sorrells, AH Paterson ", ,1986
Resolution of quantitative traits into Mendelian factors by using a complete linkage map of restriction fragment length polymorphisms ," AH Paterson, ES Lander, JD Hewitt, S Peterson, SE Lincoln, SD Tanksley "," Nature 335 (6192), 721-726",1988
Molecular mapping of plant chromosomes ," SD Tanksley, J Miller, A Paterson, R Bernatzky "," Chromosome structure and function: impact of new concepts, 157-173",1988
"Lander. E., Lincoln. S., Hewitt, J., Peterson. S., Tanksley, S ", A Paterson , Resolution of quantitative traits into mendelian factors using a complete …,1988
RFLP mapping in plant breeding: new tools for an old science ," SD Tanksley, ND Young, AH Paterson, MW Bonierbale "," Bio/technology 7 (3), 257-264",1989
Methods of evaluation for preharvest sprouting resistance in wheat breeding programs ," AH Paterson, ME Sorrells, RL Obendorf "," Canadian Journal of Plant Science 69 (3), 681-689",1989
Milling and baking quality of soft white wheat genotypes subjected to preharvest sprouting ," ME Sorrells, AH Paterson, PL Finney "," Cereal Chem 66 (5), 407-410",1989
Phenomenological studies on genetics and physiology of grain dormancy in white-kernelled wheats. , AH Paterson , ,1989
"Fine mapping of quantitative trait loci using selected overlapping recombinant chromosomes, in an interspecies cross of tomato. "," AH Paterson, JW DeVerna, B Lanini, SD Tanksley "," Genetics 124 (3), 735-742",1990
Inheritance of Grain Dormacy in White‐Kernelled Wheat ," AH Paterson, ME Sorrells "," Crop science 30 (1), 25-30",1990
Spike-based and seed-based selection for preharvest sprouting resistance in wheat ," AH Paterson, ME Sorrells "," Euphytica 46, 149-155",1990
Variation in peroxidase isozymes during grain maturation in wheat genotypes near-isogenic for grain dormancy factors ," AH Paterson, PY Bouthyette, ME Sorrells "," Cereal Research Communications, 209-215",1990
"TRITERPENOIDS, DIARYLHEPTANOIDS AND THEIR GLUCOSIDES IN THE FLOWERS OF ALNUS SPECIES "," RAY MING, J WANG, PH MOORE, AH PATERSON ", ,1990
"Mendelian factors underlying quantitative traits in tomato: comparison across species, generations, and environments. "," AH Paterson, S Damon, JD Hewitt, D Zamir, HD Rabinowitch, SE Lincoln, ... "," Genetics 127 (1), 181-197",1991
DNA markers in plant improvement ," AH Paterson, SD Tanksley, ME Sorrells "," Advances in agronomy 46, 39-90",1991
Genetics of Lycopersicon ," JW DeVerna, AH Paterson "," Genetic improvement of tomato, 21-38",1991
Prevention of breast cancer ," J Cuzick, UWPTP Chairman, M Baum, AHG Paterson, P Neven, DG Lowe, ... "," The Lancet 340 (8834-8835), 1550-1552",1992
PREVENTION OF BREAST CANCER. AUTHOR'S REPLIES ," J CUZICK, M BAUM, AHG PATERSON, P NEVEN, DG LOWE, ... "," Lancet 340 (8834-5), 1550-1552",1992
